Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal
1,1,Badlegi Business Ki Tasveer,1,BluePineFoods,Food,Frozen Momos,Middle,Delhi,Delhi,95,8,,50,5,1000,1,1,75,16,469,3
1,1,Badlegi Business Ki Tasveer,2,BoozScooters,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,Young,Ahmedabad,Gujarat,4,0.4,,40,15,267,1,1,40,50,80,2
1,1,Badlegi Business Ki Tasveer,3,HeartUpMySleeves,Beauty/Fashion,Detachable Sleeves,Young,Delhi,Delhi,,2,,25,10,250,1,1,25,30,83,2
1,2,"Insaan, Ideas Aur Sapne",4,TagzFoods,Food,Healthy Potato Chips Snacks,Middle,Bangalore,Karnataka,700,,48,70,1,7000,1,1,70,2.75,2545,1
1,2,"Insaan, Ideas Aur Sapne",5,HeadAndHeart,Education,Brain Development Course,Middle,Patiala,Punjab,30,,,50,5,1000,0,,,,,
1,2,"Insaan, Ideas Aur Sapne",6,Agritourism,Agriculture,Tourism,Middle,Baramati,Maharashtra,79,,,50,5,1000,0,,,,,
1,3,Aam Aadmi Ke Business Ideas,7,qZenseLabs,Food,Food Freshness Detector,Middle,"Delhi,Mohali","Delhi,Punjab",25,,,100,0.25,40000,1,0,,,,
1,3,Aam Aadmi Ke Business Ideas,8,Peeschute,Beauty/Fashion,Disposable Urine Bag,Young,Jalna,Maharashtra,100,,,75,4,1875,1,1,75,6,1250,1
1,3,Aam Aadmi Ke Business Ideas,9,NOCD,Food,Energy Drink,Middle,Bangalore,Karnataka,,20,,50,2,2500,1,1,20,15,133,1
1,4,Entrepreneurship Ki Wave,10,CosIQ,Beauty/Fashion,Intelligent Skincare,Middle,Delhi,Delhi,,4,75,50,7.5,667,1,1,50,25,200,2
1,4,Entrepreneurship Ki Wave,11,JhaJiAchaar,Food,Pickle,Old,Darbhanga,Bihar,,5,18,50,10,500,1,1,56.6,5.62,1007,2
1,4,Entrepreneurship Ki Wave,12,Bummer,Beauty/Fashion,Underwear,Young,Ahmedabad,Gujarat,,15,70,75,4,1875,1,1,75,7.5,1000,2
1,5,Hunt For Interesting Business,13,RevampMoto,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,Young,Nashik,Maharashtra,,0.01,,100,1,10000,1,1,100,1.5,6667,2
1,5,Hunt For Interesting Business,14,HungryHead,Food,Restaurant serving 80 types of Maggi,Middle,Mumbai,Maharashtra,,5.5,,50,5,1000,0,,,,,
1,5,Hunt For Interesting Business,15,ShrawaniEngineers,Beauty/Fashion,Belly Button Shaper,Middle,Nagpur,Maharashtra,50,,,20,10,200,0,,,,,
1,6,"New Week, New Ideas",16,SkippiIcePops,Food,Ice-Pops,Middle,Hyderabad,Telangana,,6,,45,5,900,1,1,100,15,667,5
1,6,"New Week, New Ideas",17,Menstrupedia,Education,Menstrual Awareness Comic,Middle,Ahmedabad,Gujarat,115,,,50,10,500,1,1,50,20,250,1
